index,ao_raw
1,539
2,492
3,497
4,495
5,502
6,513
7,526
8,536
9,540
10,545
11,550
12,555
13,556
14,558
15,559
16,560
17,563
18,564
19,563
20,564
21,567
22,565
23,565
24,565
25,564
26,562
27,563
28,563
29,564
30,562
31,561
32,565
33,565
34,565
35,562
36,564
37,562
38,563
39,565
40,560
41,562
42,564
43,561
44,569
45,570
46,566
47,570
48,557
49,548
50,535
51,523
52,517
53,510
54,506
55,501
56,501
57,501
58,501
59,504
60,513
61,521
62,530
63,544
64,552
65,555
66,560
67,565
68,565
69,569
70,569
71,570
72,560
73,551
74,545
75,533
76,510
77,505
78,491
79,494
80,494
81,499
82,498
83,505
84,504
85,503
86,501
87,501
88,498
89,509
90,506
91,514
92,516
93,511
94,530
95,532
96,539
97,540
98,543
99,546
100,550
101,552
102,553
103,562
104,565
105,562
106,563
107,558
108,548
109,539
110,526
111,522
112,518
113,511
114,507
115,505
116,505
117,503
118,509
119,510
120,516
121,523
122,530
123,535
124,536
125,541
126,534
127,537
128,536
129,540
130,544
131,538
132,541
133,532
134,528
135,521
136,518
137,509
138,505
139,502
140,505
141,507
142,510
143,515
144,515
145,522
146,491
147,526
148,536
149,543
